vendor_name,match_key,currency,outstanding_aed,open_cn_aed,total_bills,last_bill_date,last_payment_date,activity,reason_code,reviewer_note,finance_note,source
FOUNTAINHEAD DELIVERY SERVICES L.L.C,fountainhead delivery services,AED,14632.32,0,24,2026-06-01,2026-06-17,ACTIVE,PAYMENT_PLAN,Payig BIll to bill one inveoicve will always be overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Beauty Bay Goods Wholesalers LLC,beauty bay goods wholesalers,AED,13643.1,0,24,2026-06-24,2026-06-04,ACTIVE,ADVANCE_UNAPPLIED,advance paid there shouldnt be any overdue,"This should be zero - if there is anything, create a CN and close",Excluded vendors.xlsx (review as at 2026-07-17)
Seven Turns Pvt Ltd,seven turns,AED,13464.31,0,18,2026-05-13,2026-06-27,ACTIVE,CURRENT_OK,No overdue right now,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Pep Technologies Pvt. Ltd.,pep technologies,AED,12488.91,0,1,2026-05-18,,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
STAR WAY TRADING LLC,star way trading,AED,12464.61,0,3,2026-06-30,,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
iHerb,iherb,AED,12277.55,0,48,2026-06-04,2025-12-13,ACTIVE,SOA_PENDING,Request SOA,This should be zero - all purcahses made by using PEMO,Excluded vendors.xlsx (review as at 2026-07-17)
Amazon (Prime),amazon prime,AED,11136.67,0,236,2026-03-31,2026-02-13,RECENTLY ACTIVE,CONTROL_ACCOUNT,Remove its a Control A/c,This should be zero - all purcahses made by using PEMO,Excluded vendors.xlsx (review as at 2026-07-17)
Felurian Technology Private Limited,felurian technology,USD,10283.0,0,7,2026-03-01,2026-02-21,RECENTLY ACTIVE,SOA_PENDING,"I think there is 2400 USD overdue,lets ask for a SOA",Need to keep - but the amount seems very high,Excluded vendors.xlsx (review as at 2026-07-17)
SLICK ORGANICS PRIVATE LIMITED 1,slick organics 1,INR,10069.15,249.26,25,2026-04-27,2026-04-30,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
ARK GROUP LLC,ark group,AED,8789.68,45.05,19,2025-10-17,2025-10-15,Need Clarity on this Vendor,SOA_PENDING,Request SOA,Remove - dont think there is an outstanding,Excluded vendors.xlsx (review as at 2026-07-17)
ITDA General Trading LLC,itda general trading,AED,8358.19,0,11,2026-05-17,2026-03-24,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Trendyol DWC-LLC,trendyol dwc,AED,7368.12,0,126,2026-07-13,2026-06-12,ACTIVE,CONTROL_ACCOUNT,Remove its a Control A/c,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
FENIX GULF SCOOTERS L.L.C.,fenix gulf scooters,AED,6744.18,0,10,2024-11-26,2025-01-02,Need Clarity on this Vendor,UNREVIEWED,,"Remove - the outstanding is actual, we can pass a CN and close",Excluded vendors.xlsx (review as at 2026-07-17)
SPV Laboratories Private Limited,spv laboratories,INR,6491.53,0,27,2026-06-01,2026-06-06,ACTIVE,CURRENT_OK,No overdue right now,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Brinton Pharmaceuticals Ltd.,brinton pharmaceuticals,INR,6333.33,0,5,2025-10-21,2026-01-03,Need Clarity on this Vendor,SOA_PENDING,Request SOA,Remove- there will be no outstanding,Excluded vendors.xlsx (review as at 2026-07-17)
MOHAMMED IMRAN SAYED,mohammed imran sayed,INR,5722.47,0,1,2026-05-01,,ACTIVE,CURRENT_OK,No overdue right now,Remove- there will be no outstanding and we stopped dealing with him,Excluded vendors.xlsx (review as at 2026-07-17)
Sales Grows FZE,sales grows,AED,5509.0,0,1,2025-09-06,,Need Clarity on this Vendor,SOA_PENDING,Request SOA,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
Tabby L.L.C,tabby,AED,5505.27,124.75,80,2026-06-30,2026-05-31,ACTIVE,PAYMENT_PLAN,Reducing from Payout,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
MH Enterprises L.L.C,mh enterprises,AED,5394.2,0,45,2026-04-07,2025-12-10,RECENTLY ACTIVE,SOA_PENDING,Request SOA,Need to keep- but the balance should be zero,Excluded vendors.xlsx (review as at 2026-07-17)
Golden International Logistics,golden international logistics,AED,4969.75,0,8,2024-09-30,2025-10-17,Need Clarity on this Vendor,REMOVE_FROM_AP,Remove,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
SAMA PHARMA,sama pharma,SAR,4727.61,0,8,2025-04-07,2025-05-26,Need Clarity on this Vendor,REMOVE_FROM_AP,Remove,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
PDC Drug Store LLC,pdc drug store,AED,4712.5,0,3,2026-06-08,2026-06-29,ACTIVE,PAYMENT_PLAN,There is overdue will need to pay by 1st week of u=august,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
KUWA FOOD SUPPLEMENTS TRADING L.L.C,kuwa food supplements trading,AED,4140.24,0,0,,,Need Clarity on this Vendor,REMOVE_FROM_AP,Remove,This is RP,Excluded vendors.xlsx (review as at 2026-07-17)
Modernline Distribution LLC,modernline distribution,AED,3961.35,0,82,2026-05-31,2025-11-30,ACTIVE,SETOFF_RECEIVABLE,no overdues getting setoff with COD,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Double Wood LLC,double wood,USD,3663.68,0,26,2025-10-31,2025-10-17,Need Clarity on this Vendor,REMOVE_FROM_AP,Remove,This should be zero - all purcahses made by using PEMO,Excluded vendors.xlsx (review as at 2026-07-17)
ONE SHOT FOR FOOD SUPPLEMENTS TRADING LLC,one shot for food supplements trading,AED,2598.75,0,3,2026-05-31,2026-04-29,ACTIVE,SOA_PENDING,"Request SOA, i dont remember payig them at all",Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Akramzada,akramzada,AED,2378.5,0,1,2026-05-19,,ACTIVE,SOA_PENDING,"Request SOA, i dont remember payig them at all",Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Visage Lines Personal Care Private Limited,visage lines personal care,AED,2000.74,0,3,2026-05-26,2026-06-09,ACTIVE,CURRENT_OK,paid on terms no overdue,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
AL ITTIHAD DRUG STORE L.L.C.,al ittihad drug store,AED,1899.01,0,2,2026-06-30,,ACTIVE,SOA_PENDING,"Request SOA, i dont remember payig them at all",Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
IBN BATUTA MEDICINE & MEDICAL EQUIP. STORE LLC,ibn batuta medicine medical equip store,AED,1854.23,0,16,2026-07-03,2025-04-27,ACTIVE,CURRENT_OK,paid on terms no overdue,Remove - only dealing with Shifa- no outstanding,Excluded vendors.xlsx (review as at 2026-07-17)
Redroomtechnology Private Limited,redroomtechnology,INR,1806.64,0,2,2026-04-02,2026-04-14,RECENTLY ACTIVE,UNREVIEWED,,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Amazon India,amazon india,INR,1785.5,0,7,2025-08-21,2025-07-06,Need Clarity on this Vendor,CONTROL_ACCOUNT,Remove its a Control A/c,This should be zero - all purcahses made by using PEMO,Excluded vendors.xlsx (review as at 2026-07-17)
Links Me,links me,AED,1701.0,0,2,2026-05-08,2026-06-30,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
BETA MEDICAL SUPPLIES L.L.C,beta medical supplies,AED,1442.38,0,11,2026-06-26,2026-02-11,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Dr.Nutrition Center LLC,dr nutrition center,AED,1377.01,0,5,2026-06-08,2026-06-20,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Amazon Kapiva UAE,amazon kapiva uae,AED,1191.99,0,25,2025-12-31,2025-12-31,Need Clarity on this Vendor,CONTROL_ACCOUNT,Remove its a Control A/c,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
Future Kart Solution,future kart solution,AED,1067.72,0,3,2026-01-02,2025-10-04,Need Clarity on this Vendor,SOA_PENDING,Request SOA,Remove- now billing from Green paradize/Axislink,Excluded vendors.xlsx (review as at 2026-07-17)
Bidada Foods Private Limited,bidada foods,INR,717.62,0,9,2026-01-09,2025-10-02,Need Clarity on this Vendor,SOA_PENDING,Request SOA,Remove- now billing from Green paradize/Axislink,Excluded vendors.xlsx (review as at 2026-07-17)
Amazon.ae,amazon ae,AED,603.69,0,49,2026-06-30,2026-01-30,ACTIVE,CURRENT_OK,Amazon ADS no overdue,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
AJHG EXPRESS L.L.C,ajhg express,AED,550.17,0,5,2026-04-30,,ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
RSA E-commerce and Digital Logistics DWC-LLC,rsa e commerce and digital logistics dwc,AED,540.96,0,5,2025-08-31,2025-04-01,Need Clarity on this Vendor,SETOFF_RECEIVABLE,no overdues getting setoff with COD,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
ASHANUL HAQUE,ashanul haque,INR,466.65,0,3,2026-03-12,2026-04-08,RECENTLY ACTIVE,REMOVE_FROM_AP,Remove,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Ghadeer Mohammed Alawi,ghadeer mohammed alawi,OMR,381.58,0,1,2025-10-06,2025-10-17,Need Clarity on this Vendor,UNREVIEWED,,This is Receivable - no idea why its there in receivables - check again,Excluded vendors.xlsx (review as at 2026-07-17)
I W E INTRANATIONAL SHIPPING L.L.C,i w e intranational shipping,AED,283.5,0,2,2025-12-31,,Need Clarity on this Vendor,UNREVIEWED,,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
Zoho Software Trading L.L.C,zoho software trading,AED,238.35,0,1,2026-07-11,,ACTIVE,REMOVE_FROM_AP,Remove,This should be zero - all purcahses made by using PEMO,Excluded vendors.xlsx (review as at 2026-07-17)
Ask Darin Business,ask darin business,AED,200.0,0,16,2026-05-08,2026-06-20,ACTIVE,CURRENT_OK,No overdue,This should be zero,Excluded vendors.xlsx (review as at 2026-07-17)
DHL Worldwide Express (Dubai) LLC,dhl worldwide express dubai,AED,98.84,0,120,2026-07-10,2026-06-27,ACTIVE,CURRENT_OK,"No overdue, paid last week",Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
NOON E COMMERCE OWNED BY NOON AD HOLDINGS ONE PERSON COMPANY L.L.C,noon e commerce owned by noon ad holdings one person,AED,72.59,97.46,201,2026-05-31,2026-05-31,ACTIVE,REMOVE_FROM_AP,Remove,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
Prime Phoenix Fire Fighting Installation LLC,prime phoenix fire fighting installation,AED,62.5,0,1,2026-03-07,2026-03-09,RECENTLY ACTIVE,SOA_PENDING,Request SOA,Need to keep,Excluded vendors.xlsx (review as at 2026-07-17)
"PAPACOSMETIC Co.,Ltd",papacosmetic,USD,0.95,0,1,2025-10-02,2025-08-27,Need Clarity on this Vendor,SOA_PENDING,Request SOA,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
Nad Shabeeb Waste Collection & Transporting,nad shabeeb waste collection transporting,AED,0.6,0,3,2026-05-19,2026-05-22,ACTIVE,ADVANCE_UNAPPLIED,Should be zero overdue since this is advance and 1 year contract,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
Rabiko Lifestyle Private Limited,rabiko lifestyle,INR,0.4,0,2,2026-03-06,2026-02-14,RECENTLY ACTIVE,SOA_PENDING,Request SOA,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
Bright Lifecare Private Limited,bright lifecare,INR,0.06,0,1,2026-02-26,2026-02-14,RECENTLY ACTIVE,SOA_PENDING,Request SOA,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
NOON Office,noon office,AED,0.01,0,43,2025-11-01,2025-11-02,Need Clarity on this Vendor,REMOVE_FROM_AP,Remove,Remove,Excluded vendors.xlsx (review as at 2026-07-17)
