Vendor,Entities,Suggested Account,Assign Account,Status,Confidence,Txns,Amount,Accounts Used,Source,Matched As
AFAQ ALSAREEA FOR TRAD AND SERV,KUWA,Last Mile,Last Mile,Suggested,100%,7,12423.89,1,Zoho Bills (line items),AFAQ ALSAREEA FOR TRAD AND SERV
Afaq Qtech General Trading LLC,"KSA, SAHA",3PL - Commission and charges,3PL - Commission and charges,Suggested,100%,93,755301.54,2,Detailed GL,Afaq Qtech General Trading LLC
Afya Al Hayat Clinics for Medical Services,DMCC,,,Unmapped,,,,,,
AG1 EU Enterprise Limited,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,5,799431.12,1,Zoho Bills (line items),AG1 EU Enterprise Limited
Agiomix,DMCC,,,Unmapped,,,,,,
Agnieszka Kowacz,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,660.0,1,Zoho Bills (line items),Agnieszka Kowacz
Ahmad Fida Foaud Aladel Establishment for Marketing Services/مؤسسة أحمد فداء فؤاد العدل لخدمات التسويق,KSA,,,Unmapped,,,,,,
Ahmed,KUWA,,,Unmapped,,,,,,
AHMED ALI MAHMOUD MOHAMED AHMED,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,2,7700.0,1,Zoho Bills (line items),AHMED ALI MAHMOUD MOHAMED AHMED
AHMED SABRY,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1000.0,1,Zoho Bills (line items),AHMED SABRY
Ahrefs Pte. Ltd,"DMCC, KUWA",Others - Marketing Expenses,Others - Marketing Expenses,Suggested,100%,1,374.6,1,Zoho Bills (line items),Ahrefs Pte. Ltd
AIESHA MOHSIN,DMCC,,,Unmapped,,,,,,
Aiman hashim elahmar,KSA,,,Unmapped,,,,,,
Air & Sea Logistics,DMCC,,,Unmapped,,,,,,
AJ For Logistic Services Company(One Partner),KSA,,,Unmapped,,,,,,
AJHG EXPRESS L.L.C,KUWA,Last Mile,Last Mile,Suggested,95%,1590,43890.16,2,Zoho Bills (line items),AJHG EXPRESS L.L.C
Ajmal Pharmacy,DMCC,,,Unmapped,,,,,,
AKGSR Accounting & Bookkeeping,DMCC,,,Unmapped,,,,,,
Al Ahliya Pharmaceutical Trading,DMCC,,,Unmapped,,,,,,
AL ARD AL JAMEELA TRADING LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,50,367036.0,1,Zoho Bills (line items),AL ARD AL JAMEELA TRADING LLC
Al Batrah Marketing Company,KSA,,,Unmapped,,,,,,
Al Borg Medical Laboratories,DMCC,,,Unmapped,,,,,,
Al Fajer Information & Services L.L.C,KUWA,Others - Marketing Expenses,Others - Marketing Expenses,Suggested,100%,1,1250.01,1,Zoho Bills (line items),Al Fajer Information & Services L.L.C
Al Farabi Medical Center,DMCC,,,Unmapped,,,,,,
AL Farabi Medical Labs/مختبرات الفارابي الطبية,KSA,,,Unmapped,,,,,,
AL FOTUNE MEDICAL EQUIPMENT,DMCC,,,Unmapped,,,,,,
AL Ghurair Printing and Publishing LLC,DMCC,,,Unmapped,,,,,,
Al Maryah Community Bank LLC,KUWA,,,Unmapped,,,,,,
Al Maya Supermarket,DMCC,,,Unmapped,,,,,,
Al Medicina Pharmacy,DMCC,,,Unmapped,,,,,,
Al Mostaqbal Labs/معامل المستقبل,KSA,,,Unmapped,,,,,,
Al Mufid Trading Co. (L.L.C),DMCC,Inventory Asset,Inventory Asset,Suggested,100%,22,1185642.94,1,Zoho Bills (line items),Al Mufid Trading Co. LLC
Al Mufid Trading Co. LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,22,1185642.94,1,Zoho Bills (line items),Al Mufid Trading Co. LLC
Al Mumayazoon United Medical Company / شركة المتميزون المتحدة الطبية,KSA,,,Unmapped,,,,,,
Al Nahdi Pharmacy - Barsha Heights,DMCC,,,Unmapped,,,,,,
Al Rajhi Banking & Investment Corporation,KSA,,,Unmapped,,,,,,
Al Reef Drug Store LLC,DMCC,,,Unmapped,,,,,,
Al Ruwais Electronics and Mobile Trading LLC,DMCC,,,Unmapped,,,,,,
AL SAHA & AL JAWDAH DRUG STORE,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,3,283100.32,1,Zoho Bills (line items),AL SAHA & AL JAWDAH DRUG STORE
AL Saiee Group,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,12,156253.56,1,Zoho Bills (line items),AL Saiee Group
Al Tamimi Drug Store LLC,DMCC,Inventory Asset,Inventory Asset,Suggested,100%,42,13690.5,1,Zoho Bills (line items),AL TAMIMI DRUG STORE LLC
AL TAMIMI DRUG STORE LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,42,13690.5,1,Zoho Bills (line items),AL TAMIMI DRUG STORE LLC
Al- Bayan Al- Wadeh Printing Press/مطبعة البيان الواضح الطباعة,KSA,,,Unmapped,,,,,,
Alaan Suppliers,DMCC,,,Unmapped,,,,,,
ALDAWAA MEDICAL COMPANY,KSA,,,Unmapped,,,,,,
Aldeyafa Al Mumayza Government Services,"DMCC, KUWA, VWHC",Staff Visa Expenses,Staff Visa Expenses,Suggested,94%,18,10462.88,2,Zoho Bills (line items),Aldeyafa Al Mumayza Government Services
Aldeyafa Government Transaction Center,KUWA,Prepaid Expenses,Prepaid Expenses,Needs review,52%,173,60788.98,4,Zoho Bills (line items),Aldeyafa Government Transaction Center
Alester Catadman,KUWA,,,Unmapped,,,,,,
Alesther Catadman,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,7,9000.0,1,Zoho Bills (line items),Alesther Catadman
Alfa One Drug Store LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,98%,89,302789.97,2,Zoho Bills (line items),Alfa One Drug Store LLC
Alfan Digital Media Group FZ-LLC,DMCC,,,Unmapped,,,,,,
ALHAYA HOME MEDICAL SERVICES CENTER,KSA,,,Unmapped,,,,,,
Alibaba,DMCC,,,Unmapped,,,,,,
ALINA IVANOVA,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,3,3400.0,1,Zoho Bills (line items),ALINA IVANOVA
ALIST - METASPHERE TECHNOLOGIES,DMCC,,,Unmapped,,,,,,
ALLJOY Logistics L.L.C,DMCC,,,Unmapped,,,,,,
Almanea,KSA,,,Unmapped,,,,,,
Almostaqbal Labs,DMCC,,,Unmapped,,,,,,
Almujah for audio and visual production,KSA,,,Unmapped,,,,,,
ALNAHDI MEDICAL CO,DMCC,,,Unmapped,,,,,,
Alpha Digital Health Private Limited,DMCC,,,Unmapped,,,,,,
Alphamed General Trading LLC,DMCC,,,Unmapped,,,,,,
Altibbi Resource Communication Company,KSA,,,Unmapped,,,,,,
Altynbaeva Aliia,DMCC,,,Unmapped,,,,,,
Amal shaheen,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,700.0,1,Zoho Bills (line items),Amal shaheen
Amazon (Prime),"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,97%,402,264168.14,7,Zoho Bills (line items),Amazon (Prime)
Amazon India,KUWA,Inventory Asset,Inventory Asset,Suggested,96%,8,3042.81,3,Zoho Bills (line items),Amazon India
Amazon Kapiva UAE,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Needs review,78%,25,8170.75,4,Zoho Bills (line items),Amazon Kapiva UAE
Amazon Market Place - Supplements,DMCC,,,Unmapped,,,,,,
Amazon MarketPlace  Valeo KSA,DMCC,3PL - Commission and Charges,3PL - Commission and Charges,Needs review,48%,42,199395.61,3,Zoho Bills (line items),Amazon Marketplace - Valeo KSA
Amazon Marketplace - Australia,"DMCC, KUWA",3PL - Commission and Charges,3PL - Commission and Charges,Suggested,100%,8,8096.84,1,Zoho Bills (line items),Amazon Marketplace - Australia
Amazon Marketplace - Kuwa KSA,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Suggested,97%,83,886129.13,3,Zoho Bills (line items),Amazon Marketplace - Kuwa KSA
Amazon Marketplace - Kuwa UAE,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Needs review,74%,814,6626072.97,4,Zoho Bills (line items),Amazon Marketplace - Kuwa UAE
Amazon Marketplace - Valeo KSA,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Needs review,48%,42,199395.61,3,Zoho Bills (line items),Amazon Marketplace - Valeo KSA
Amazon Marketplace - Valeo UAE,DMCC,,,Unmapped,,,,,,
Amazon Marketplace KUWA UAE,DMCC,3PL - Commission and Charges,3PL - Commission and Charges,Needs review,74%,814,6626072.97,4,Zoho Bills (line items),Amazon Marketplace - Kuwa UAE
Amazon MarketPlace- KUWA KSA,DMCC,3PL - Commission and Charges,3PL - Commission and Charges,Suggested,97%,83,886129.13,3,Zoho Bills (line items),Amazon Marketplace - Kuwa KSA
Amazon Vendor Centeral - UAE,DMCC,,,Unmapped,,,,,,
Amazon Vendor Central - Beauty,KSA,,,Unmapped,,,,,,
Amazon Vendor Central / مركز بائعي أمازون (Old),KSA,,,Unmapped,,,,,,
Amazon Vendor Central KSA,DMCC,,,Unmapped,,,,,,
Amazon Vendor Valeo KSA - New,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Suggested,100%,6,755573.71,1,Zoho Bills (line items),Amazon Vendor Valeo KSA - New
Amazon Web Services,DMCC,,,Unmapped,,,,,,
Amazon.ae,KUWA,Marketing Expense,Marketing Expense,Needs review,64%,51,70362.4,5,Zoho Bills (line items),Amazon.ae
American Life Insurance Company (MetLife),"DMCC, KUWA, VWHC",Prepaid Insurance,Prepaid Insurance,Suggested,91%,17,76944.0,2,Zoho Bills (line items),American Life Insurance Company (MetLife)
American University In Dubai (AUD),DMCC,,,Unmapped,,,,,,
Amin UR Rahman Aziz,KSA,,,Unmapped,,,,,,
Amina Elyousefi,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,2,1007.41,1,Zoho Bills (line items),Amina Elyousefi
AMIR WISSAM MAAN,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,6,5000.0,1,Zoho Bills (line items),AMIR WISSAM MAAN
Amzolute,DMCC,,,Unmapped,,,,,,
ANA PATRICIA TAPIA LUNA,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1007.41,1,Zoho Bills (line items),ANA PATRICIA TAPIA LUNA
Analytix Accounting Consulting LLC / شركة أناليتكس للاستشارات المحاسبية,KSA,,,Unmapped,,,,,,
Analytix Arabia for Management Consulting,SAHA,,,Unmapped,,,,,,
Analytix Arabia for Management Consulting/أناليتكس العربية للاستشارات الإدارية,KSA,,,Unmapped,,,,,,
ANAYA MEDICAL CENTER LLC,DMCC,,,Unmapped,,,,,,
Andrea Lobo Burns,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1500.0,1,Zoho Bills (line items),Andrea Lobo Burns
Anirban Sengupta,DMCC,,,Unmapped,,,,,,
Ankit Gupta,DMCC,,,Unmapped,,,,,,
Ankita Agarwal,DMCC,,,Unmapped,,,,,,
Anouar Zerroud,DMCC,,,Unmapped,,,,,,
Anugrahita Enterprises Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,93%,94,401111.93,3,Zoho Bills (line items),Anugrahita Enterprises Private Limited
Anzy Careers Pvt Ltd,DMCC,,,Unmapped,,,,,,
APOTEC PHARMACY,DMCC,,,Unmapped,,,,,,
AQAM General Trading LLC,DMCC,,,Unmapped,,,,,,
Arab Materials Company,KSA,,,Unmapped,,,,,,
ARABYADS FZ LLC,DMCC,,,Unmapped,,,,,,
Aramex Emirates LLC,"DMCC, KUWA",Last Mile,Last Mile,Needs review,74%,593,221487.81,3,Zoho Bills (line items),Aramex Emirates LLC
Arbaaz Yasin & Company,PVT,,,Unmapped,,,,,,
Areej Ali,DMCC,,,Unmapped,,,,,,
Areej Colors/ألوان أريج,KSA,,,Unmapped,,,,,,
Arizone Trading LLC,DMCC,,,Unmapped,,,,,,
ARK GROUP LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,242,75511.48,1,Zoho Bills (line items),ARK GROUP LLC
Arooj Gulzar,DMCC,,,Unmapped,,,,,,
Arrow Daanat Amana Electronics Traiding,KUWA,Printing and Stationery,Printing and Stationery,Suggested,100%,6,1000.0,1,Zoho Bills (line items),Arrow Daanat Amana Electronics Traiding
Arvind Mittal,DMCC,,,Unmapped,,,,,,
ARVIND MITTAL,PVT,,,Unmapped,,,,,,
ASAS Alaman Fire fighting Safety Equipment Installation Co.LLC SOC,DMCC,,,Unmapped,,,,,,
Ascension Personal Sport Coaching Services,DMCC,,,Unmapped,,,,,,
ASG Marketing Services,DMCC,,,Unmapped,,,,,,
Ash Tree Healthcare,DMCC,,,Unmapped,,,,,,
ASHANUL HAQUE,KUWA,Consultant Expense,Consultant Expense,Suggested,100%,7,6495.31,2,Zoho Bills (line items),ASHANUL HAQUE
Ashdown General Trading LLC,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,99%,41,225279.32,2,Zoho Bills (line items),Ashdown General Trading LLC
Ask Darin Business,KUWA,Staff Visa Expenses,Staff Visa Expenses,Needs review,39%,43,2360.15,5,Zoho Bills (line items),Ask Darin Business
Ask Darin Business Services,VWHC,,,Unmapped,,,,,,
ASPIRE PHARMACY,DMCC,,,Unmapped,,,,,,
Aster Flower Trading LLC,DMCC,,,Unmapped,,,,,,
Aster Pharmacy,DMCC,,,Unmapped,,,,,,
Aston GB General Trading Co LLC,DMCC,,,Unmapped,,,,,,
AstroLabs DMCC,DMCC,,,Unmapped,,,,,,
ASTROLABS DMCC,HOLDING,,,Unmapped,,,,,,
Astrolabs/الإسطرلاب,KSA,,,Unmapped,,,,,,
Aswat FZ LLC - ZIWO,DMCC,,,Unmapped,,,,,,
Asyad Express SPC,KUWA,Last Mile,Last Mile,Suggested,88%,135,91815.84,4,Zoho Bills (line items),Asyad Express SPC
Atlassian,DMCC,,,Unmapped,,,,,,
Attryb Tech Private Limited,"DMCC, KUWA",Marketing Expense,Marketing Expense,Suggested,90%,18,163833.9,2,Zoho Bills (line items),Attryb Tech Private Limited
Augustus Media FZ LLC,DMCC,,,Unmapped,,,,,,
Ava Yadak,DMCC,,,Unmapped,,,,,,
AVALON HOTEL L.L.C,VWHC,,,Unmapped,,,,,,
AVM Labs LLC (Thyrocare),DMCC,,,Unmapped,,,,,,
AVMLabs W L L,KSA,,,Unmapped,,,,,,
AVMLabs W.L.L,KSA,,,Unmapped,,,,,,
AVOCADO ADVERTISING REQUISITES TRADING LLC,"DMCC, KUWA",Marketing Expense,Marketing Expense,Suggested,100%,8,33850.0,1,Zoho Bills (line items),AVOCADO ADVERTISING REQUISITES TRADING LLC
Awake One Lifestyle,DMCC,,,Unmapped,,,,,,
Awraq Printing Press FZ LLC,DMCC,,,Unmapped,,,,,,
Axislink Exports Pvt Ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,87%,193,378849.5,5,Zoho Bills (line items),Axislink Exports Pvt Ltd
Aya Chawa,DMCC,,,Unmapped,,,,,,
Ayah Mohamed,"DMCC, KUWA",Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1000.0,1,Zoho Bills (line items),Ayah Mohamed
AYAN HOTELS EST RIYADH –KSA,DMCC,,,Unmapped,,,,,,
AYKJ & Co. LLP,PVT,,,Unmapped,,,,,,
Ayu Rohman,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,503.7,1,Zoho Bills (line items),Ayu Rohman
Azza Mohammed Tahir,KSA,,,Unmapped,,,,,,
Azzah Saad Almutairi,KSA,,,Unmapped,,,,,,
Babirus Medical Equipment Trading LLC,DMCC,,,Unmapped,,,,,,
Back Venture Legal Consulting FZE LLC,"HOLDING, KSA",,,Unmapped,,,,,,
Baho Advertising Requisites Trading LLC,DMCC,,,Unmapped,,,,,,
Basmah Ghandur,KSA,,,Unmapped,,,,,,
Bassem Abo Hashem,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,7000.0,1,Zoho Bills (line items),Bassem Abo Hashem
Bateel Mansour,DMCC,,,Unmapped,,,,,,
Bazar Supermarket,DMCC,,,Unmapped,,,,,,
Be On Top DMCC,DMCC,,,Unmapped,,,,,,
Beauty Bay,DMCC,,,Unmapped,,,,,,
Beauty Bay Goods Wholesalers LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,98%,106,611540.55,3,Zoho Bills (line items),Beauty Bay Goods Wholesalers LLC
BEING SHE EVENTS,DMCC,,,Unmapped,,,,,,
Benchire,DMCC,,,Unmapped,,,,,,
Berrio Logistics Co LLC,DMCC,,,Unmapped,,,,,,
Berrio Logistics India Pvt Ltd,DMCC,,,Unmapped,,,,,,
BETA MEDICAL SUPPLIES L.L.C,KUWA,Inventory Asset,Inventory Asset,Needs review,76%,17,2997.5,3,Zoho Bills (line items),BETA MEDICAL SUPPLIES L.L.C
BEYOND FZE,"DMCC, KUWA",Office Expenses,Office Expenses,Needs review,68%,3,10290.0,2,Zoho Bills (line items),BEYOND FZE
BHIVE WORKSPACE,DMCC,,,Unmapped,,,,,,
Bidada Foods Private Limited,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,42,19756.38,1,Zoho Bills (line items),Bidada Foods Private Limited
BIKEPARK MOTORCYCLES RENTAL L.L.C,DMCC,,,Unmapped,,,,,,
Bimal Kalathoki Debendra Kalathoki,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,500.0,1,Zoho Bills (line items),Bimal Kalathoki Debendra Kalathoki
BIO PHARMA MEDICAL TRADING CO. LLC,KUWA,Cost of Goods Sold,Cost of Goods Sold,Suggested,100%,10,10335.0,1,Zoho Bills (line items),BIO PHARMA MEDICAL TRADING CO. LLC
BIOMAX TRADING L.L.C.,KUWA,Inventory Asset,Inventory Asset,Needs review,72%,190,213453.76,3,Zoho Bills (line items),BIOMAX TRADING LLC
Biomax Trading LLC,DMCC,Inventory Asset,Inventory Asset,Needs review,72%,190,213453.76,3,Zoho Bills (line items),BIOMAX TRADING LLC
BIONGEVITY PRECISION HEALTH AND LONGEVITY CLINIC L.L.C,DMCC,,,Unmapped,,,,,,
Bionutri Ltd,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,82%,35,104150.26,3,Zoho Bills (line items),Bionutri Ltd
Biosytech Medical,DMCC,,,Unmapped,,,,,,
Bitespeed,DMCC,,,Unmapped,,,,,,
Black Coat Technologies Pvt Ltd,DMCC,,,Unmapped,,,,,,
BLANCA MARIA FRANCO MEDINA,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1200.0,1,Zoho Bills (line items),BLANCA MARIA FRANCO MEDINA
BLINDSPOT HEALTH FZCO,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,251,1898378.64,1,Zoho Bills (line items),BLINDSPOT HEALTH FZCO
Bloom Health care,DMCC,,,Unmapped,,,,,,
Bloom Nutrition,DMCC,,,Unmapped,,,,,,
Blush & Bloom,DMCC,Inventory Asset,Inventory Asset,Suggested,99%,6,1415.0,2,Zoho Bills (line items),Blush Bloom
Blush Bloom,KUWA,Inventory Asset,Inventory Asset,Suggested,99%,6,1415.0,2,Zoho Bills (line items),Blush Bloom
Body By Salma,"DMCC, KUWA",Influencers-Marketing,Influencers-Marketing,Suggested,100%,3,2500.0,1,Zoho Bills (line items),Body By Salma
Body Cupid Pvt Ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,97,139230.2,1,Zoho Bills (line items),Body Cupid Pvt Ltd
Boom Connecting Care,DMCC,,,Unmapped,,,,,,
Bosta,"DMCC, KUWA",Last Mile,Last Mile,Suggested,100%,16,17560.44,1,Zoho Bills (line items),Bosta
Boston IVY Healthcare solutions,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,1,100.0,1,Zoho Bills (line items),Boston IVY Healthcare solutions
Brand Ripplr FZ LLC,DMCC,,,Unmapped,,,,,,
Bright Lifecare Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,98%,34,21480.96,2,Zoho Bills (line items),Bright Lifecare Private Limited
BRIGHT STONE DOCUMENTS CLEARING Docman,VWHC,,,Unmapped,,,,,,
BRILLARE SCIENCE  LTD,KUWA,Inventory Asset,Inventory Asset,Suggested,83%,162,136146.58,3,Zoho Bills (line items),BRILLARE SCIENCE  LTD | BRILLARE SCIENCE LTD
Brinton Pharmaceuticals Ltd.,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,98,68490.16,1,Zoho Bills (line items),Brinton Pharmaceuticals Ltd.
BRITISH CHAMBER OF COMMERCE,DMCC,,,Unmapped,,,,,,
British Mums DMCC,DMCC,,,Unmapped,,,,,,
BSA,DMCC,,,Unmapped,,,,,,
Bug Bounty,PVT,,,Unmapped,,,,,,
Bunny Studio Inc.,DMCC,,,Unmapped,,,,,,
Bupa Arabia for Cooperative Insurance Company/شركة بوبا العربية للتأمين التعاوني,KSA,,,Unmapped,,,,,,
Business Travel LLC,DMCC,,,Unmapped,,,,,,
Busy Avocado,DMCC,,,Unmapped,,,,,,
BY NIGGI MARKETING MANAGEMENT EST.,DMCC,,,Unmapped,,,,,,
C.M.Cosmetics,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,33,60087.12,1,Zoho Bills (line items),C.M.Cosmetics
Calendly LLC,DMCC,,,Unmapped,,,,,,
Call Doctor Home Health Care Center LLC,DMCC,,,Unmapped,,,,,,
Cambridge Nutraceuticals,KUWA,Inventory Asset,Inventory Asset,Suggested,98%,66,166603.92,5,Zoho Bills (line items),Cambridge Nutraceuticals
Cambridge Nutraceuticals Ltd,DMCC,Inventory Asset,Inventory Asset,Suggested,98%,66,166603.92,5,Zoho Bills (line items),Cambridge Nutraceuticals
Care and Cure Home Healthcare,DMCC,,,Unmapped,,,,,,
Care One Polyclinic LLC,DMCC,,,Unmapped,,,,,,
CAREEM NETWORKS GENERAL TRADING L.L.C,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Needs review,74%,13,2659.56,2,Zoho Bills (line items),CAREEM NETWORKS GENERAL TRADING L.L.C
Careem Platform (S),DMCC,,,Unmapped,,,,,,
CAREEM RIDE,DMCC,,,Unmapped,,,,,,
CareZone Home HealthCare LLC,DMCC,,,Unmapped,,,,,,
Carlos Dimas Coaching,DMCC,,,Unmapped,,,,,,
Caro's Nutrition,DMCC,,,Unmapped,,,,,,
CAROL MATTA Marketing Management,DMCC,,,Unmapped,,,,,,
CAROLINA INFLUENCER,KUWA,Marketing Expense,Marketing Expense,Suggested,100%,1,500.0,1,Zoho Bills (line items),CAROLINA INFLUENCER
Caros Nutrition FZ-LLC,DMCC,,,Unmapped,,,,,,
CDA Accounting & Bookkeeping Services LLC,DMCC,,,Unmapped,,,,,,
Centenarians Life Sciences Pvt. Ltd.,KUWA,Inventory Asset,Inventory Asset,Suggested,98%,120,501696.3,4,Zoho Bills (line items),Centenarians Life Sciences Pvt. Ltd.
Centric Compounding FZ LLC,DMCC,,,Unmapped,,,,,,
Cham Almasiya for Advertising Company,KSA,,,Unmapped,,,,,,
Charbel Jamous,DMCC,,,Unmapped,,,,,,
CHARLES PHILIP TAYLOR,DMCC,,,Unmapped,,,,,,
CHARLIE RUBY BAXTER FZE,DMCC,,,Unmapped,,,,,,
Charlie Taylor,DMCC,,,Unmapped,,,,,,
Checkout MENA FZ-LLC,DMCC,,,Unmapped,,,,,,
Chiara Seidenader,DMCC,,,Unmapped,,,,,,
ChromaDex Inc.,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,73,3780038.14,1,Zoho Bills (line items),ChromaDex Inc.
"ChromaDex, Inc",KUWA,Inventory Asset,Inventory Asset,Suggested,100%,73,3780038.14,1,Zoho Bills (line items),ChromaDex Inc.
CIS INTERNATIONAL SERVICE CO. LTD,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,42,34694.23,1,Zoho Bills (line items),CIS INTERNATIONAL SERVICE CO. LTD
CITADINES METRO CENTRAL HOTEL APARTMENTS L.L.C,VWHC,,,Unmapped,,,,,,
CITY PHARMACY LLC,DMCC,,,Unmapped,,,,,,
Clara Formations Limited,"DMCC, HOLDING",,,Unmapped,,,,,,
CLAY Management L.L.C-FZ,DMCC,,,Unmapped,,,,,,
